Champion,Ban Ratio,league,area
Olaf,?0.29%,All,EUW
Ziggs,?0.28%,All,EUW
Ivern,?0.27%,All,EUW
Lissandra,?0.25%,All,EUW
Kindred,?0.25%,All,EUW
Graves,?0.23%,All,EUW
Sion,?0.23%,All,EUW
Nautilus,?0.20%,All,EUW
Volibear,?0.18%,All,EUW
Karthus,?0.16%,All,EUW
Viktor,?0.16%,All,EUW
Poppy,?0.15%,All,EUW
Nunu,?0.12%,All,EUW
Skarner,?0.08%,All,EUW
Zed,?56.69%,All,EUNE
Yasuo,?50.40%,All,EUNE
Darius,?44.39%,All,EUNE
Draven,?40.95%,All,EUNE
Vayne,?30.97%,All,EUNE
Cho'Gath,?30.78%,All,EUNE
Blitzcrank,?28.35%,All,EUNE
Lulu,?27.57%,All,EUNE
Kayn,?26.32%,All,EUNE
Twitch,?26.11%,All,EUNE
Evelynn,?25.95%,All,EUNE
Fizz,?24.71%,All,EUNE
Tristana,?22.68%,All,EUNE
Katarina,?21.97%,All,EUNE
Sejuani,?21.74%,All,EUNE
Soraka,?21.42%,All,EUNE
Fiora,?20.42%,All,EUNE
Janna,?18.98%,All,EUNE
Galio,?17.37%,All,EUNE
Master Yi,?15.90%,All,EUNE
Xayah,?14.76%,All,EUNE
Leona,?13.29%,All,EUNE
Jax,?11.25%,All,EUNE
Rammus,?10.87%,All,EUNE
Malzahar,?10.66%,All,EUNE
Ezreal,?10.23%,All,EUNE
Morgana,?9.47%,All,EUNE
Pantheon,?8.78%,All,EUNE
Caitlyn,?8.27%,All,EUNE
Akali,?8.19%,All,EUNE
Thresh,?8.04%,All,EUNE
Lee Sin,?7.93%,All,EUNE
Kog'Maw,?7.90%,All,EUNE
Warwick,?7.89%,All,EUNE
Jarvan IV,?7.77%,All,EUNE
Teemo,?7.69%,All,EUNE
Nasus,?7.66%,All,EUNE
Vladimir,?7.60%,All,EUNE
Illaoi,?6.77%,All,EUNE
Syndra,?6.56%,All,EUNE
Diana,?6.25%,All,EUNE
Ekko,?5.52%,All,EUNE
Annie,?5.42%,All,EUNE
,?5.11%,All,EUNE
Jayce,?5.00%,All,EUNE
Tryndamere,?4.85%,All,EUNE
Brand,?4.72%,All,EUNE
Orianna,?4.70%,All,EUNE
Azir,?4.65%,All,EUNE
Riven,?4.46%,All,EUNE
Kha'Zix,?4.39%,All,EUNE
Braum,?4.26%,All,EUNE
Talon,?4.19%,All,EUNE
Renekton,?4.06%,All,EUNE
Urgot,?3.98%,All,EUNE
Zac,?3.94%,All,EUNE
Garen,?3.90%,All,EUNE
Rakan,?3.77%,All,EUNE
Veigar,?3.72%,All,EUNE
Gnar,?3.66%,All,EUNE
Ahri,?3.42%,All,EUNE
Xin Zhao,?3.36%,All,EUNE
Kassadin,?3.36%,All,EUNE
Maokai,?3.28%,All,EUNE
Ornn,?3.11%,All,EUNE
LeBlanc,?2.99%,All,EUNE
Gangplank,?2.44%,All,EUNE
Lux,?2.38%,All,EUNE
Miss Fortune,?2.09%,All,EUNE
Malphite,?1.95%,All,EUNE
Jinx,?1.81%,All,EUNE
Sona,?1.78%,All,EUNE
Irelia,?1.77%,All,EUNE
Camille,?1.68%,All,EUNE
Jhin,?1.55%,All,EUNE
Kalista,?1.54%,All,EUNE
Rengar,?1.53%,All,EUNE
Kled,?1.48%,All,EUNE
Alistar,?1.36%,All,EUNE
Singed,?1.36%,All,EUNE
Gragas,?1.15%,All,EUNE
Shaco,?1.15%,All,EUNE
Lucian,?1.13%,All,EUNE
Cassiopeia,?1.09%,All,EUNE
Varus,?1.09%,All,EUNE
Heimerdinger,?1.07%,All,EUNE
Taric,?1.03%,All,EUNE
Aatrox,?1.01%,All,EUNE
Hecarim,?0.97%,All,EUNE
Anivia,?0.96%,All,EUNE
Swain,?0.83%,All,EUNE
Kennen,?0.83%,All,EUNE
Yorick,?0.76%,All,EUNE
Dr. Mundo,?0.75%,All,EUNE
Elise,?0.74%,All,EUNE
Vel'Koz,?0.68%,All,EUNE
Udyr,?0.66%,All,EUNE
Zyra,?0.66%,All,EUNE
Aurelion Sol,?0.64%,All,EUNE
Vi,?0.64%,All,EUNE
Ryze,?0.64%,All,EUNE
Kayle,?0.64%,All,EUNE
Amumu,?0.63%,All,EUNE
Wukong,?0.60%,All,EUNE
Ashe,?0.54%,All,EUNE
Shen,?0.54%,All,EUNE
Corki,?0.53%,All,EUNE
Bard,?0.50%,All,EUNE
Tahm Kench,?0.48%,All,EUNE
Shyvana,?0.47%,All,EUNE
Trundle,?0.44%,All,EUNE
Karma,?0.42%,All,EUNE
Fiddlesticks,?0.42%,All,EUNE
Mordekaiser,?0.40%,All,EUNE
Olaf,?0.40%,All,EUNE
Quinn,?0.38%,All,EUNE
Nami,?0.37%,All,EUNE
Nidalee,?0.37%,All,EUNE
Rumble,?0.36%,All,EUNE
Xerath,?0.35%,All,EUNE
Lissandra,?0.33%,All,EUNE
Ziggs,?0.32%,All,EUNE
Twisted Fate,?0.30%,All,EUNE
Taliyah,?0.29%,All,EUNE
Ivern,?0.27%,All,EUNE
Rek'Sai,?0.26%,All,EUNE
Nocturne,?0.26%,All,EUNE
Volibear,?0.24%,All,EUNE
Graves,?0.24%,All,EUNE
Nautilus,?0.23%,All,EUNE
Sion,?0.22%,All,EUNE
Sivir,?0.21%,All,EUNE
Zilean,?0.21%,All,EUNE
Kindred,?0.21%,All,EUNE
Viktor,?0.18%,All,EUNE
Poppy,?0.15%,All,EUNE
Karthus,?0.15%,All,EUNE
Nunu,?0.09%,All,EUNE
Skarner,?0.07%,All,EUNE
