Champion,Win rate,Games played,KDA,CS,Gold,league,area
Cho'Gath,?50.83%,"237,169",2.5:1,?140.84,"?11,488",All,EUNE
Lux,?50.81%,"418,908",2.69:1,?113.61,"?11,495",All,EUNE
Karthus,?50.80%,"28,469",2.28:1,?173.93,"?12,736",All,EUNE
Annie,?50.77%,"172,159",2.19:1,?128.87,"?11,605",All,EUNE
Fiddlesticks,?50.70%,"71,382",2.27:1,?104.72,"?11,380",All,EUNE
Yasuo,?50.37%,"531,714",1.72:1,?190.24,"?12,632",All,EUNE
Draven,?50.35%,"247,591",2.14:1,?181.31,"?13,349",All,EUNE
Orianna,?50.34%,"280,146",2.62:1,?173.00,"?11,986",All,EUNE
Quinn,?50.34%,"63,258",2.05:1,?152.54,"?12,458",All,EUNE
Master Yi,?50.33%,"364,151",1.88:1,?145.18,"?12,695",All,EUNE
Blitzcrank,?50.32%,"335,871",2.67:1,?42.05,"?9,800",All,EUNE
Zyra,?50.28%,"91,243",2.3:1,?59.64,"?11,215",All,EUNE
Irelia,?50.24%,"107,228",2.09:1,?172.35,"?12,156",All,EUNE
Fiora,?50.15%,"163,016",1.9:1,?172.05,"?12,065",All,EUNE
Pantheon,?50.11%,"174,347",2.19:1,?128.57,"?11,681",All,EUNE
Malphite,?50.10%,"202,350",2.71:1,?119.57,"?11,018",All,EUNE
Kindred,?49.99%,"46,108",2.03:1,?126.89,"?11,962",All,EUNE
Kennen,?49.98%,"85,611",2.18:1,?155.30,"?11,669",All,EUNE
Kled,?49.92%,"54,033",2.4:1,?150.90,"?11,718",All,EUNE
Talon,?49.88%,"166,056",2.18:1,?152.03,"?12,530",All,EUNE
Nocturne,?49.82%,"75,277",2.24:1,?135.88,"?12,283",All,EUNE
Trundle,?49.81%,"85,447",2.27:1,?149.24,"?11,457",All,EUNE
Kha'Zix,?49.80%,"260,162",2.37:1,?115.91,"?12,061",All,EUNE
Fizz,?49.79%,"235,656",2.26:1,?135.23,"?12,084",All,EUNE
Ekko,?49.77%,"241,899",2.17:1,?146.86,"?12,019",All,EUNE
Xayah,?49.76%,"371,402",2.34:1,?193.83,"?12,772",All,EUNE
Rumble,?49.70%,"52,291",2.15:1,?160.42,"?11,829",All,EUNE
Twisted Fate,?49.67%,"111,017",2.11:1,?153.58,"?12,248",All,EUNE
Jayce,?49.64%,"156,892",2.27:1,?169.84,"?12,213",All,EUNE
Braum,?49.61%,"199,116",3.05:1,?42.22,"?9,455",All,EUNE
Zilean,?49.59%,"49,346",2.85:1,?73.99,"?10,871",All,EUNE
Skarner,?49.59%,"19,702",2.51:1,?115.17,"?11,137",All,EUNE
Hecarim,?49.54%,"87,975",2.61:1,?123.78,"?11,732",All,EUNE
Azir,?49.51%,"112,328",2.03:1,?177.44,"?12,210",All,EUNE
Gangplank,?49.50%,"207,695",2.35:1,?200.70,"?13,797",All,EUNE
Vladimir,?49.49%,"154,031",2.06:1,?173.86,"?11,796",All,EUNE
Shaco,?49.47%,"102,862",2.31:1,?113.41,"?11,744",All,EUNE
Ezreal,?49.45%,"394,557",2.63:1,?150.65,"?12,475",All,EUNE
Alistar,?49.34%,"171,951",2.75:1,?41.90,"?9,406",All,EUNE
Corki,?49.32%,"66,052",2.38:1,?181.67,"?12,589",All,EUNE
Gnar,?49.24%,"195,953",2.13:1,?160.64,"?11,509",All,EUNE
Illaoi,?49.15%,"82,805",1.71:1,?176.51,"?11,896",All,EUNE
Kayn,?49.15%,"424,369",2.1:1,?132.78,"?12,066",All,EUNE
Sivir,?49.04%,"105,302",2.48:1,?211.32,"?12,995",All,EUNE
Varus,?49.03%,"276,551",2.35:1,?194.83,"?12,894",All,EUNE
Kassadin,?48.95%,"95,094",2.43:1,?148.09,"?11,753",All,EUNE
Lissandra,?48.93%,"44,838",2.21:1,?171.42,"?11,801",All,EUNE
Darius,?48.92%,"198,381",1.96:1,?162.82,"?11,709",All,EUNE
Rakan,?48.89%,"239,776",2.86:1,?17.66,"?9,950",All,EUNE
Aatrox,?48.81%,"35,538",1.91:1,?159.87,"?11,911",All,EUNE
Dr. Mundo,?48.77%,"55,355",2.25:1,?154.51,"?11,556",All,EUNE
Zac,?48.76%,"80,973",3.27:1,?103.93,"?10,706",All,EUNE
Zed,?48.74%,"421,789",2.21:1,?158.98,"?12,505",All,EUNE
Akali,?48.73%,"166,032",2.06:1,?137.36,"?12,013",All,EUNE
Mordekaiser,?48.66%,"38,361",1.74:1,?163.58,"?11,727",All,EUNE
Renekton,?48.62%,"162,380",2:01,?182.62,"?11,956",All,EUNE
Aurelion Sol,?48.54%,"19,064",2.19:1,?156.10,"?11,637",All,EUNE
Shen,?48.44%,"130,380",2.95:1,?126.60,"?10,742",All,EUNE
Caitlyn,?48.37%,"402,341",2.24:1,?191.69,"?12,529",All,EUNE
Morgana,?48.33%,"346,232",2.73:1,?44.24,"?10,683",All,EUNE
Riven,?48.19%,"228,820",1.93:1,?170.30,"?11,995",All,EUNE
Volibear,?48.10%,"62,363",2.38:1,?111.61,"?11,134",All,EUNE
Ornn,?48.10%,"127,758",2.49:1,?136.97,"?11,044",All,EUNE
Bard,?48.08%,"93,815",2.65:1,?31.08,"?10,499",All,EUNE
Nautilus,?48.00%,"91,218",2.66:1,?70.02,"?9,975",All,EUNE
Jhin,?47.94%,"274,352",2.56:1,?174.60,"?12,572",All,EUNE
Elise,?47.92%,"71,116",2.19:1,?99.69,"?11,273",All,EUNE
Ashe,?47.85%,"192,593",2.26:1,?172.02,"?12,255",All,EUNE
Graves,?47.54%,"79,948",2.09:1,?160.58,"?12,410",All,EUNE
Syndra,?47.45%,"180,603",2.08:1,?177.57,"?12,142",All,EUNE
Camille,?47.43%,"54,311",1.88:1,?145.00,"?11,420",All,EUNE
Karma,?47.40%,"162,998",2.61:1,?51.23,"?10,267",All,EUNE
Tahm Kench,?47.38%,"68,274",2.59:1,?69.24,"?10,141",All,EUNE
Viktor,?47.29%,"52,311",2.17:1,?173.44,"?12,054",All,EUNE
Ivern,?47.27%,"21,413",2.88:1,?75.73,"?10,059",All,EUNE
Gragas,?47.06%,"166,252",2.5:1,?111.27,"?10,826",All,EUNE
Poppy,?46.89%,"56,421",2.4:1,?121.50,"?10,810",All,EUNE
Rek'Sai,?46.82%,"38,988",2.36:1,?112.33,"?11,362",All,EUNE
Galio,?46.82%,"225,826",2.28:1,?151.38,"?11,269",All,EUNE
Rengar,?46.73%,"152,378",1.92:1,?139.53,"?12,130",All,EUNE
Thresh,?46.58%,"497,200",2.79:1,?30.64,"?9,357",All,EUNE
Lee Sin,?46.54%,"474,816",2.26:1,?105.92,"?11,338",All,EUNE
Evelynn,?46.48%,"166,611",2.25:1,?93.39,"?11,541",All,EUNE
Lucian,?46.11%,"255,258",2.25:1,?190.94,"?12,764",All,EUNE
Kalista,?45.75%,"106,808",2.14:1,?187.87,"?12,552",All,EUNE
Taliyah,?45.73%,"68,086",2.07:1,?160.15,"?11,758",All,EUNE
Olaf,?45.40%,"63,941",1.93:1,?140.31,"?11,485",All,EUNE
Cassiopeia,?45.25%,"53,547",1.98:1,?162.58,"?11,630",All,EUNE
Nidalee,?45.20%,"89,834",2.17:1,?106.62,"?11,329",All,EUNE
LeBlanc,?44.93%,"87,483",2.24:1,?123.60,"?11,160",All,EUNE
Ryze,?42.91%,"125,982",1.95:1,?173.09,"?11,633",All,EUNE
Nunu,?41.47%,"24,789",1.99:1,?98.18,"10,368",All,EUNE
Taric,?52.21%,"13,124",2.9:1,?40.59,"?9,455",Brozen,EUNE
Rammus,?51.83%,"7,646",2.44:1,?96.86,"?11,030",Brozen,EUNE
Jarvan IV,?51.73%,"15,219",2.74:1,?115.75,"?11,747",Brozen,EUNE
Shyvana,?51.41%,"10,270",2.17:1,?136.02,"?12,116",Brozen,EUNE
Malzahar,?51.31%,"7,669",2.22:1,?149.31,"?12,030",Brozen,EUNE
Leona,?51.30%,"40,029",2.62:1,?41.41,"?9,889",Brozen,EUNE
Sejuani,?51.10%,"8,695",2.82:1,?95.79,"?10,918",Brozen,EUNE
Sona,?50.96%,"26,701",2.66:1,?22.30,"?10,214",Brozen,EUNE
Sion,?50.79%,"7,539",2.32:1,?109.78,"?11,218",Brozen,EUNE
Miss Fortune,?50.77%,"61,883",2.35:1,?148.58,"?12,427",Brozen,EUNE
Yorick,?50.64%,"4,589",1.91:1,?159.61,"?11,782",Brozen,EUNE
Diana,?50.38%,"17,817",2.15:1,?127.41,"?12,200",Brozen,EUNE
Soraka,?50.33%,"28,314",2.6:1,?22.59,"?10,009",Brozen,EUNE
Garen,?50.27%,"33,548",2.21:1,?140.94,"?11,659",Brozen,EUNE
Janna,?50.23%,"13,496",2.82:1,?20.98,"?10,110",Brozen,EUNE
Singed,?50.02%,"4,848",1.9:1,?142.13,"?11,522",Brozen,EUNE
Blitzcrank,?50.00%,"40,821",2.5:1,?41.42,"?9,798",Brozen,EUNE
Brand,?49.93%,"12,584",2.17:1,?94.88,"?11,667",Brozen,EUNE
Amumu,?49.80%,"10,237",2.37:1,?80.70,"?10,539",Brozen,EUNE
Yasuo,?49.78%,"59,065",1.7:1,?167.28,"?12,488",Brozen,EUNE
Vel'Koz,?49.71%,"8,707",2.25:1,?115.99,"?11,666",Brozen,EUNE
Tryndamere,?49.64%,"34,287",1.88:1,?161.96,"?12,367",Brozen,EUNE
Vi,?49.60%,"10,451",2.06:1,?107.58,"?11,541",Brozen,EUNE
Veigar,?49.58%,"31,813",2.1:1,?123.83,"?11,813",Brozen,EUNE
Jax,?49.57%,"47,611",1.8:1,?121.44,"?11,804",Brozen,EUNE
Teemo,?49.55%,"40,434",1.85:1,?138.97,"?11,973",Brozen,EUNE
Warwick,?49.47%,"41,859",2.09:1,?98.39,"?11,538",Brozen,EUNE
Rakan,?49.45%,"19,532",2.74:1,?19.14,"?10,123",Brozen,EUNE
Master Yi,?49.34%,"56,242",1.78:1,?133.45,"?12,485",Brozen,EUNE
Urgot,?49.26%,"9,511",2.16:1,?143.63,"?11,878",Brozen,EUNE
Kog'Maw,?49.25%,"7,432",2.08:1,?158.47,"?12,867",Brozen,EUNE
Xerath,?49.19%,"4,113",2.41:1,?122.23,"?11,598",Brozen,EUNE
Nasus,?49.08%,"27,158",1.95:1,?157.48,"?11,763",Brozen,EUNE
Nami,?49.06%,"8,603",2.93:1,?19.35,"?9,988",Brozen,EUNE
Malphite,?48.89%,"25,639",2.52:1,?81.65,"?10,572",Brozen,EUNE
Wukong,?48.80%,"8,820",2.16:1,?119.15,"?11,687",Brozen,EUNE
Rumble,?48.78%,"2,960",2.01:1,?136.77,"?11,716",Brozen,EUNE
Karthus,?48.74%,"2,460",2.16:1,?138.04,"?12,510",Brozen,EUNE
Ahri,?48.73%,"14,645",2.28:1,?126.23,"?11,347",Brozen,EUNE
Braum,?48.72%,"18,062",2.81:1,?38.41,"?9,455",Brozen,EUNE
Draven,?48.70%,"19,345",2.13:1,?147.96,"?12,802",Brozen,EUNE
Twitch,?48.64%,"33,704",2.27:1,?146.83,"?12,510",Brozen,EUNE
Udyr,?48.59%,"5,549",1.86:1,?115.45,"?11,506",Brozen,EUNE
Xin Zhao,?48.52%,"31,750",1.82:1,?107.43,"?11,487",Brozen,EUNE
Heimerdinger,?48.43%,"13,377",1.78:1,?148.34,"?11,868",Brozen,EUNE
Lux,?48.43%,"56,640",2.41:1,?83.43,"?11,015",Brozen,EUNE
Lulu,?48.30%,"12,181",2.57:1,?29.74,"?9,998",Brozen,EUNE
Zyra,?48.27%,"6,252",2.12:1,?68.00,"?11,207",Brozen,EUNE
Fiddlesticks,?48.27%,"6,082",2:01,?98.71,"?11,226",Brozen,EUNE
Orianna,?48.26%,"11,877",2.38:1,?141.41,"?11,668",Brozen,EUNE
Ziggs,?48.25%,"7,459",2.07:1,?133.99,"?11,753",Brozen,EUNE
Kayle,?48.25%,"6,297",1.96:1,?124.61,"?11,297",Brozen,EUNE
Jinx,?48.23%,"44,736",2.22:1,?158.20,"?12,345",Brozen,EUNE
Annie,?48.20%,"18,157",2.03:1,?106.24,"?11,274",Brozen,EUNE
Nautilus,?48.17%,"9,409",2.53:1,?56.03,"?9,884",Brozen,EUNE
Tristana,?48.15%,"51,025",2.22:1,?158.24,"?12,320",Brozen,EUNE
Maokai,?48.14%,"6,441",2.55:1,?93.76,"?10,498",Brozen,EUNE
Swain,?48.08%,"4,382",2.2:1,?130.94,"?11,364",Brozen,EUNE
Cho'Gath,?48.05%,"20,719",2.25:1,?117.79,"?11,229",Brozen,EUNE
Kennen,?47.95%,"6,887",2.08:1,?126.98,"?11,362",Brozen,EUNE
Vayne,?47.79%,"43,457",1.95:1,?152.39,"?12,333",Brozen,EUNE
Irelia,?47.78%,"7,035",1.98:1,?136.85,"?11,767",Brozen,EUNE
Illaoi,?47.51%,"12,084",1.66:1,?155.08,"?11,603",Brozen,EUNE
Alistar,?47.50%,"15,904",2.43:1,?39.35,"?9,400",Brozen,EUNE
Kled,?47.47%,"4,588",2.13:1,?127.19,"?11,440",Brozen,EUNE
Anivia,?47.43%,"4,029",2.4:1,?120.31,"?11,321",Brozen,EUNE
Nocturne,?47.35%,"6,114",1.95:1,?121.99,"?12,028",Brozen,EUNE
Varus,?47.34%,"21,283",2.21:1,?162.43,"?12,503",Brozen,EUNE
Elise,?47.30%,"3,573",1.89:1,?88.82,"?11,143",Brozen,EUNE
Quinn,?47.19%,"8,284",1.96:1,?133.79,"?12,123",Brozen,EUNE
Xayah,?47.17%,"26,449",2.12:1,?157.17,"?12,189",Brozen,EUNE
Fizz,?47.12%,"25,645",2.1:1,?110.42,"?11,765",Brozen,EUNE
Ekko,?47.08%,"23,394",1.99:1,?125.74,"?11,672",Brozen,EUNE
Pantheon,?47.08%,"24,937",2.05:1,?108.29,"?11,393",Brozen,EUNE
Viktor,?47.06%,"2,329",1.98:1,?132.03,"?11,544",Brozen,EUNE
Gnar,?47.01%,"13,890",2.06:1,?137.07,"?11,244",Brozen,EUNE
Fiora,?47.01%,"12,172",1.83:1,?142.64,"?11,685",Brozen,EUNE
Jayce,?46.99%,"10,103",2.19:1,?139.13,"?11,831",Brozen,EUNE
Zac,?46.99%,"5,929",2.8:1,?89.86,"?10,425",Brozen,EUNE
Talon,?46.88%,"23,076",2.05:1,?128.55,"?12,171",Brozen,EUNE
Shen,?46.86%,"10,287",2.7:1,?94.81,"?10,427",Brozen,EUNE
Hecarim,?46.79%,"6,553",2.3:1,?108.52,"?11,366",Brozen,EUNE
Katarina,?46.74%,"31,679",1.99:1,?127.45,"?12,028",Brozen,EUNE
Lissandra,?46.70%,"2,199",2:01,?133.93,"?11,341",Brozen,EUNE
Graves,?46.68%,"5,521",2:01,?143.32,"?12,082",Brozen,EUNE
Trundle,?46.59%,"5,465",2.11:1,?117.72,"?11,100",Brozen,EUNE
Renekton,?46.53%,"14,641",1.88:1,?155.04,"?11,613",Brozen,EUNE
Zilean,?46.45%,"4,273",2.33:1,?66.33,"?10,762",Brozen,EUNE
Kayn,?46.43%,"33,656",1.91:1,?119.68,"?11,812",Brozen,EUNE
Kha'Zix,?46.28%,"22,448",2.07:1,?103.68,"?11,690",Brozen,EUNE
Gangplank,?46.27%,"6,841",2.03:1,?161.53,"?12,781",Brozen,EUNE
Dr. Mundo,?46.25%,"6,193",2.07:1,?130.75,"?11,143",Brozen,EUNE
Tahm Kench,?46.25%,"7,485",2.38:1,?52.42,"?9,905",Brozen,EUNE
Volibear,?46.21%,"10,657",2.14:1,?93.03,"?10,766",Brozen,EUNE
Morgana,?46.13%,"51,927",2.44:1,?41.15,"?10,694",Brozen,EUNE
Azir,?46.11%,"5,457",1.79:1,?144.61,"?11,790",Brozen,EUNE
Darius,?46.05%,"19,093",1.89:1,?136.12,"?11,243",Brozen,EUNE
Sivir,?46.00%,"8,836",2.15:1,?171.43,"?12,294",Brozen,EUNE
Zed,?45.97%,"41,819",2.04:1,?135.55,"?12,157",Brozen,EUNE
Aatrox,?45.94%,"3,907",1.75:1,?139.05,"?11,596",Brozen,EUNE
Galio,?45.92%,"15,449",2.13:1,?121.50,"?10,916",Brozen,EUNE
Gragas,?45.83%,"10,867",2.1:1,?93.09,"?10,559",Brozen,EUNE
Ezreal,?45.76%,"22,201",2.41:1,?126.61,"?11,927",Brozen,EUNE
Skarner,?45.60%,"1,204",2.03:1,?99.48,"?10,813",Brozen,EUNE
Jhin,?45.39%,"23,991",2.33:1,?144.03,"?12,048",Brozen,EUNE
Akali,?45.36%,"25,198",1.96:1,?116.29,"?11,751",Brozen,EUNE
Caitlyn,?45.36%,"25,109",2.11:1,?158.24,"?12,053",Brozen,EUNE
Ashe,?45.32%,"26,144",2.08:1,?142.87,"?11,819",Brozen,EUNE
Syndra,?45.27%,"8,839",1.92:1,?146.80,"?11,774",Brozen,EUNE
Vladimir,?45.04%,"8,017",1.9:1,?141.43,"?11,351",Brozen,EUNE
Karma,?45.02%,"10,225",2.23:1,?48.05,"?10,116",Brozen,EUNE
Kindred,?44.94%,"3,765",1.73:1,?114.04,"?11,516",Brozen,EUNE
Corki,?44.82%,"3,329",2.1:1,?145.69,"?12,057",Brozen,EUNE
Bard,?44.79%,"5,379",2.23:1,?32.67,"?10,352",Brozen,EUNE
Aurelion Sol,?44.77%,"1,137",1.79:1,?120.90,"?11,235",Brozen,EUNE
Lucian,?44.75%,"19,055",2.15:1,?160.00,"?12,334",Brozen,EUNE
Mordekaiser,?44.73%,"3,637",1.58:1,?135.43,"?11,282",Brozen,EUNE
Shaco,?44.68%,"9,512",2:01,?90.98,"?11,133",Brozen,EUNE
Thresh,?44.62%,"33,574",2.43:1,?28.37,"?9,278",Brozen,EUNE
Kassadin,?44.32%,"5,332",2.06:1,?113.66,"?11,243",Brozen,EUNE
Ornn,?44.25%,"7,971",2.19:1,?104.63,"?10,626",Brozen,EUNE
Riven,?44.15%,"13,386",1.77:1,?136.84,"?11,401",Brozen,EUNE
Poppy,?44.12%,"6,718",2.16:1,?95.60,"?10,334",Brozen,EUNE
Olaf,?44.00%,"10,511",1.76:1,?124.83,"?11,210",Brozen,EUNE
Lee Sin,?43.97%,"40,344",1.97:1,?94.57,"?11,096",Brozen,EUNE
Twisted Fate,?43.85%,"6,883",1.69:1,?119.88,"?11,507",Brozen,EUNE
Ivern,?43.75%,"1,511",2.27:1,?64.28,"?9,891",Brozen,EUNE
Kalista,?43.38%,"6,750",2.03:1,?156.55,"?12,125",Brozen,EUNE
Evelynn,?43.36%,"17,009",1.96:1,?83.11,"?11,233",Brozen,EUNE
Rek'Sai,?43.32%,"2,269",1.93:1,?97.22,"?10,930",Brozen,EUNE
Rengar,?43.20%,"15,066",1.67:1,?119.41,"?11,641",Brozen,EUNE
Taliyah,?42.75%,"3,207",1.78:1,?122.35,"?11,121",Brozen,EUNE
Cassiopeia,?42.31%,"3,557",1.83:1,?127.69,"?11,203",Brozen,EUNE
Camille,?42.31%,"3,446",1.67:1,?115.30,"?10,866",Brozen,EUNE
Ryze,?41.24%,"9,724",1.82:1,?132.97,"?11,089",Brozen,EUNE
LeBlanc,?40.74%,"7,639",1.89:1,?94.85,"?10,614",Brozen,EUNE
Nunu,?40.29%,"2,755",1.72:1,?82.89,"?10,115",Brozen,EUNE
Nidalee,?39.61%,"7,458",1.77:1,?82.62,"?10,658",Brozen,EUNE
Sona,?53.90%,"111,955",2.85:1,?20.44,"?10,259",Silver,EUNE
Soraka,?53.19%,"136,687",2.85:1,?18.63,"?9,951",Silver,EUNE
Rammus,?53.07%,"42,407",2.7:1,?103.37,"?11,094",Silver,EUNE
Malzahar,?53.04%,"57,160",2.33:1,?167.35,"?12,256",Silver,EUNE
Taric,?52.94%,"59,244",3.13:1,?41.34,"?9,489",Silver,EUNE
Janna,?52.72%,"96,308",3.25:1,?17.39,"?10,093",Silver,EUNE
Jarvan IV,?52.71%,"96,874",2.91:1,?122.05,"?11,830",Silver,EUNE
Shyvana,?52.56%,"41,831",2.39:1,?146.94,"?12,353",Silver,EUNE
Urgot,?52.55%,"43,918",2.37:1,?159.47,"?12,135",Silver,EUNE
Garen,?52.04%,"113,197",2.35:1,?156.97,"?11,872",Silver,EUNE
Sion,?52.01%,"27,570",2.52:1,?126.24,"?11,398",Silver,EUNE
Yorick,?51.98%,"21,269",2.01:1,?172.10,"?11,905",Silver,EUNE
Anivia,?51.95%,"22,197",2.73:1,?146.95,"?11,935",Silver,EUNE
Singed,?51.88%,"24,710",1.94:1,?166.40,"?11,785",Silver,EUNE
Leona,?51.78%,"193,688",2.83:1,?43.36,"?9,867",Silver,EUNE
Udyr,?51.75%,"30,175",2.11:1,?128.34,"?11,782",Silver,EUNE
Veigar,?51.75%,"106,462",2.26:1,?146.81,"?12,229",Silver,EUNE
Amumu,?51.59%,"42,836",2.67:1,?104.22,"?11,071",Silver,EUNE
Xerath,?51.51%,"21,360",2.64:1,?142.19,"?11,968",Silver,EUNE
Diana,?51.50%,"82,465",2.22:1,?141.12,"?12,372",Silver,EUNE
Vi,?51.34%,"52,557",2.21:1,?113.94,"?11,607",Silver,EUNE
Miss Fortune,?51.30%,"167,316",2.45:1,?167.10,"?12,634",Silver,EUNE
Warwick,?51.30%,"132,747",2.29:1,?106.08,"?11,612",Silver,EUNE
Teemo,?51.26%,"111,181",1.86:1,?152.90,"?12,151",Silver,EUNE
Vel'Koz,?51.20%,"39,402",2.41:1,?127.09,"?11,920",Silver,EUNE
Brand,?51.14%,"68,470",2.25:1,?98.29,"?11,641",Silver,EUNE
Ziggs,?51.10%,"31,374",2.29:1,?154.39,"?12,097",Silver,EUNE
Twitch,?51.08%,"160,471",2.46:1,?164.72,"?12,888",Silver,EUNE
Nasus,?51.08%,"107,268",2.04:1,?174.23,"?11,979",Silver,EUNE
Heimerdinger,?50.93%,"33,958",1.88:1,?158.79,"?11,905",Silver,EUNE
Kayle,?50.92%,"24,955",2.12:1,?150.40,"?11,709",Silver,EUNE
Sejuani,?50.81%,"53,541",3.07:1,?103.06,"?11,055",Silver,EUNE
Jax,?50.74%,"159,620",1.87:1,?138.19,"?12,012",Silver,EUNE
Wukong,?50.73%,"37,217",2.31:1,?130.35,"?11,922",Silver,EUNE
Nami,?50.72%,"50,737",3.25:1,?15.49,"?9,923",Silver,EUNE
Tryndamere,?50.56%,"96,091",1.92:1,?182.16,"?12,628",Silver,EUNE
Yasuo,?50.49%,"199,719",1.73:1,?184.08,"?12,659",Silver,EUNE
Jinx,?50.34%,"175,115",2.35:1,?181.96,"?12,735",Silver,EUNE
Lux,?50.34%,"178,053",2.64:1,?103.75,"?11,405",Silver,EUNE
Tristana,?50.26%,"237,050",2.44:1,?182.76,"?12,761",Silver,EUNE
Zyra,?50.21%,"32,664",2.3:1,?61.52,"?11,267",Silver,EUNE
Annie,?50.15%,"76,546",2.17:1,?123.74,"?11,545",Silver,EUNE
Ahri,?50.15%,"66,729",2.44:1,?147.00,"?11,691",Silver,EUNE
Kog'Maw,?50.12%,"45,373",2.17:1,?177.87,"?12,993",Silver,EUNE
Maokai,?50.00%,"39,482",2.78:1,?111.93,"?10,694",Silver,EUNE
Blitzcrank,?50.00%,"140,650",2.63:1,?42.04,"?9,797",Silver,EUNE
Cho'Gath,?50.00%,"91,952",2.46:1,?133.70,"?11,468",Silver,EUNE
Xin Zhao,?49.99%,"80,986",1.95:1,?115.38,"?11,555",Silver,EUNE
Swain,?49.95%,"23,321",2.31:1,?149.13,"?11,609",Silver,EUNE
Trundle,?49.87%,"29,868",2.27:1,?137.06,"?11,403",Silver,EUNE
Master Yi,?49.86%,"164,403",1.86:1,?141.98,"?12,641",Silver,EUNE
Vayne,?49.85%,"225,637",2.07:1,?174.09,"?12,697",Silver,EUNE
Katarina,?49.83%,"113,101",2.15:1,?142.84,"?12,355",Silver,EUNE
Fiddlesticks,?49.74%,"26,082",2.19:1,?101.15,"?11,348",Silver,EUNE
Malphite,?49.67%,"86,160",2.7:1,?106.75,"?10,908",Silver,EUNE
Fiora,?49.60%,"55,465",1.91:1,?161.72,"?11,984",Silver,EUNE
Karthus,?49.55%,"8,746",2.26:1,?156.34,"?12,560",Silver,EUNE
Quinn,?49.41%,"27,569",2.03:1,?149.46,"?12,433",Silver,EUNE
Lulu,?49.40%,"89,722",2.89:1,?24.25,"?9,888",Silver,EUNE
Ekko,?49.31%,"91,667",2.13:1,?140.41,"?11,962",Silver,EUNE
Nocturne,?49.28%,"24,966",2.14:1,?129.77,"?12,216",Silver,EUNE
Kled,?49.26%,"18,375",2.36:1,?142.05,"?11,650",Silver,EUNE
Draven,?49.22%,"84,179",2.13:1,?171.42,"?13,212",Silver,EUNE
Braum,?49.21%,"82,551",3:01,?41.16,"?9,498",Silver,EUNE
Pantheon,?49.11%,"76,917",2.17:1,?123.79,"?11,602",Silver,EUNE
Skarner,?49.10%,"6,245",2.4:1,?110.31,"?11,158",Silver,EUNE
Orianna,?49.07%,"78,215",2.53:1,?158.76,"?11,847",Silver,EUNE
Xayah,?49.02%,"115,277",2.27:1,?181.92,"?12,647",Silver,EUNE
Fizz,?48.98%,"93,788",2.22:1,?126.58,"?11,984",Silver,EUNE
Kennen,?48.95%,"29,582",2.14:1,?144.17,"?11,529",Silver,EUNE
Zilean,?48.92%,"16,210",2.68:1,?67.88,"?10,861",Silver,EUNE
Talon,?48.87%,"65,008",2.15:1,?144.58,"?12,413",Silver,EUNE
Kindred,?48.87%,"16,144",1.99:1,?122.95,"?11,944",Silver,EUNE
Rumble,?48.83%,"16,483",2.09:1,?150.90,"?11,801",Silver,EUNE
Gnar,?48.77%,"65,497",2.14:1,?151.80,"?11,455",Silver,EUNE
Kayn,?48.76%,"144,818",2.05:1,?127.91,"?12,018",Silver,EUNE
Alistar,?48.76%,"69,240",2.69:1,?40.88,"?9,427",Silver,EUNE
Irelia,?48.75%,"33,162",2.07:1,?160.26,"?12,064",Silver,EUNE
Rakan,?48.74%,"81,632",2.8:1,?17.42,"?10,038",Silver,EUNE
Hecarim,?48.55%,"31,273",2.53:1,?117.29,"?11,610",Silver,EUNE
Illaoi,?48.54%,"37,190",1.72:1,?171.15,"?11,852",Silver,EUNE
Zac,?48.54%,"28,339",3.15:1,?99.80,"?10,725",Silver,EUNE
Shaco,?48.49%,"35,858",2.22:1,?104.43,"?11,554",Silver,EUNE
Azir,?48.48%,"28,880",1.92:1,?161.24,"?12,025",Silver,EUNE
Jayce,?48.45%,"47,510",2.26:1,?157.83,"?12,096",Silver,EUNE
Varus,?48.45%,"88,528",2.31:1,?184.78,"?12,822",Silver,EUNE
Dr. Mundo,?48.12%,"22,454",2.21:1,?149.39,"?11,477",Silver,EUNE
Sivir,?48.06%,"37,864",2.41:1,?200.02,"?12,825",Silver,EUNE
Corki,?48.04%,"18,036",2.3:1,?167.68,"?12,426",Silver,EUNE
Kha'Zix,?48.02%,"89,531",2.26:1,?111.15,"?11,962",Silver,EUNE
Vladimir,?48.01%,"46,517",2:01,?161.38,"?11,649",Silver,EUNE
Ezreal,?47.94%,"120,277",2.6:1,?145.39,"?12,328",Silver,EUNE
Zed,?47.94%,"154,171",2.18:1,?150.98,"?12,432",Silver,EUNE
Gangplank,?47.91%,"46,587",2.25:1,?185.25,"?13,427",Silver,EUNE
Morgana,?47.89%,"153,365",2.68:1,?42.99,"?10,706",Silver,EUNE
Darius,?47.86%,"76,117",1.95:1,?154.22,"?11,614",Silver,EUNE
Shen,?47.85%,"46,914",2.92:1,?111.99,"?10,631",Silver,EUNE
Nautilus,?47.84%,"39,292",2.66:1,?62.60,"?9,949",Silver,EUNE
Renekton,?47.79%,"60,120",1.99:1,?173.73,"?11,861",Silver,EUNE
Volibear,?47.75%,"28,914",2.37:1,?108.86,"?11,127",Silver,EUNE
Akali,?47.68%,"71,447",2.04:1,?130.47,"?11,933",Silver,EUNE
